Dates,Last Price,Volume,Ticker
2023-10-04,517.46,1560992.0,INTU US EQUITY
2023-10-04,4079.0,216096.0,ITRK LN EQUITY
2023-10-04,143.35,8128748.0,JPM US EQUITY
2023-10-04,584.4,1838976.0,LAND LN EQUITY
2023-10-04,42.46,85726770.0,LLOY LN EQUITY
2023-10-04,8050.0,518895.0,LSEG LN EQUITY
2023-10-04,68.68,5757718.0,MDLZ US EQUITY
2023-10-04,225.1,5470780.0,MKS LN EQUITY
2023-10-04,104.26,3296647.0,MRNA US EQUITY
2023-10-04,318.955,20720144.0,MSFT US EQUITY
2023-10-04,30526.88,1371579800.0,NKY INDEX 
2023-10-04,3.488,138699.0,NOKIA FP EQUITY
2023-10-04,58.57,11019567.0,PYPL US EQUITY
2023-10-04,814.99,344582.0,REGN US EQUITY
2023-10-04,101.82,1147430.0,SAN FP EQUITY
2023-10-04,254.1,7125073.0,SBRY LN EQUITY
2023-10-04,394.7,834579.0,SDR LN EQUITY
2023-10-04,703.2,2819919.0,SGRO LN EQUITY
2023-10-04,4263.75,649738600.0,SPX INDEX
2023-10-04,743.6,5544982.0,STAN LN EQUITY
2023-10-04,4099.85,332892893.0,SX5E INDEX
2023-10-04,261.16,129721567.0,TLSA US EQUITY
2023-10-04,270.7,25530427.0,TSCO LN EQUITY
2023-10-04,60.09,4791244.0,TTE FP EQUITY
2023-10-04,2.56,4316974.0,UKAB10BC INDEX
2023-10-04,4000.0,4316974.0,UKAB3YAC INDEX
2023-10-04,7412.45,582562768.0,UKX INDEX
2023-10-04,4012.5,2539153.0,ULVR LN EQUITY
2023-10-04,881.0,763818.0,UTG LN EQUITY
2023-10-04,231.22,5430925.0,V US EQUITY
2023-10-04,75.17,51251431.0,VOD LN EQUITY
2023-10-04,204.5,591076.0,VRSN US EQUITY
2023-10-04,210.56,3045402.0,VTI US EQUITY
2023-10-05,174.91,48527918.0,AAPL US EQUITY
2023-10-05,51.04,1133786.0,ABI BB EQUITY
2023-10-05,516.44,1818976.0,ADBE US EQUITY
2023-10-05,221.0,728902.0,ALV GR EQUITY
2023-10-05,125.96,39660643.0,AMZN US EQUITY
2023-10-05,622.2,1549861.0,AUTO LN EQUITY
2023-10-05,147.09,2706169.0,AXP US EQUITY
